Geo Point;Geo Shape;Haltestellennummer;Haltestellenname;Angezeigter_Name;Transportunternehmen_Nummer;Transportunternehmen_Name;Gemeindenummer;Gemeinde_Name;Gebiet;Höhe;Haltestellenart;Haltestellentyp;Zum Objekt navigieren
47.539537709956996, 7.601229429773668;"{""coordinates"": [7.601229429773668, 47.539537709956996], ""type"": ""Point""}";89310;Basel, Falkensteinerstrasse;Falkensteinerstrasse;823;BVB;2701;Basel;BS;283;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.539537709956996&lon=7.601229429773668&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.56631243308579, 7.591205559955851;"{""coordinates"": [7.591205559955851, 47.56631243308579], ""type"": ""Point""}";88769;Basel, Feldbergstrasse;Feldbergstrasse;823;BVB;2701;Basel;BS;251;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.56631243308579&lon=7.591205559955851&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.551250805397444, 7.610840053681767;"{""coordinates"": [7.610840053681767, 47.551250805397444], ""type"": ""Point""}";88953;Basel, Gellertstrasse;Gellertstrasse;879;BLT Auto;2701;Basel;BS;269;Bushaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.551250805397444&lon=7.610840053681767&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.549678900850154, 7.565768807785909;"{""coordinates"": [7.565768807785909, 47.549678900850154], ""type"": ""Point""}";89315;Basel, General Guisan-Strasse;General Guisan-Strasse;823;BVB;2701;Basel;BS;277;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.549678900850154&lon=7.56576880778591&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.54951950499339, 7.606417485150297;"{""coordinates"": [7.606417485150297, 47.54951950499339], ""type"": ""Point""}";89317;Basel, Grellingerstrasse;Grellingerstrasse;823;BVB;2701;Basel;BS;273;Tramhaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.54951950499339&lon=7.606417485150299&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.56025319691935, 7.574388549928558;"{""coordinates"": [7.574388549928558, 47.56025319691935], ""type"": ""Point""}";89323;Basel, Hegenheimerstrasse;Hegenheimerstrasse;823;BVB;2701;Basel;BS;275;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.56025319691935&lon=7.574388549928558&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.57287161934403, 7.576038676473758;"{""coordinates"": [7.576038676473758, 47.57287161934403], ""type"": ""Point""}";88771;Basel, Hüningerstrasse;Hüningerstrasse;37;BLT;2701;Basel;BS;251;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.57287161934402&lon=7.576038676473758&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.56436083483516, 7.615849028979948;"{""coordinates"": [7.615849028979948, 47.56436083483516], ""type"": ""Point""}";89329;Basel, Im Heimatland;Im Heimatland;823;BVB;2701;Basel;BS;258;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.564360834835156&lon=7.615849028979947&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.53242176804452, 7.60144826689624;"{""coordinates"": [7.60144826689624, 47.53242176804452], ""type"": ""Point""}";88063;Basel, Jakobsberg;Jakobsberg;823;BVB;2701;Basel;BS;324;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.532421768044514&lon=7.60144826689624&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.56425037889208, 7.5839076833128845;"{""coordinates"": [7.583907683312884, 47.56425037889208], ""type"": ""Point""}";88772;Basel, Johanniterbrücke;Johanniterbrücke;823;BVB;2701;Basel;BS;251;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.56425037889208&lon=7.5839076833128845&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.565823388289694, 7.618910533868739;"{""coordinates"": [7.618910533868739, 47.565823388289694], ""type"": ""Point""}";89332;Basel, Käferholzstrasse;Käferholzstrasse;823;BVB;2701;Basel;BS;260;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.565823388289694&lon=7.618910533868741&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.547938953095006, 7.609268822733985;"{""coordinates"": [7.609268822733985, 47.547938953095006], ""type"": ""Point""}";88952;Basel, Karl Barth-Platz;Karl Barth-Platz;823;BVB;2701;Basel;BS;274;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.547938953095006&lon=7.609268822733985&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.554467096387576, 7.594078595742014;"{""coordinates"": [7.594078595742014, 47.554467096387576], ""type"": ""Point""}";89336;Basel, Kunstmuseum;Kunstmuseum;823;BVB;2701;Basel;BS;266;Tramhaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.554467096387576&lon=7.594078595742014&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.548109047813305, 7.567842009469942;"{""coordinates"": [7.567842009469942, 47.548109047813305], ""type"": ""Point""}";89338;Basel, Laupenring;Laupenring;823;BVB;2701;Basel;BS;280;Tramhaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.54810904781331&lon=7.567842009469943&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.56626891212711, 7.564993119847134;"{""coordinates"": [7.564993119847134, 47.56626891212711], ""type"": ""Point""}";78168;Basel, Felix Platter-Spital;Felix Platter-Spital;823;BVB;2701;Basel;BS;287;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.566268912127114&lon=7.564993119847134&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.54414658939577, 7.5817186674708035;"{""coordinates"": [7.581718667470803, 47.54414658939577], ""type"": ""Point""}";89340;Basel, Margarethen;Margarethen;823;BVB;2701;Basel;BS;286;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.54414658939578&lon=7.5817186674708035&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.557151342899715, 7.565394712516291;"{""coordinates"": [7.565394712516291, 47.557151342899715], ""type"": ""Point""}";92442;Basel, Morgartenring;Morgartenring;823;BVB;2701;Basel;BS;276;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.557151342899715&lon=7.565394712516291&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.57192883142683, 7.611253741516347;"{""coordinates"": [7.611253741516347, 47.57192883142683], ""type"": ""Point""}";89359;Basel, Schorenweg;Schorenweg;823;BVB;2701;Basel;BS;255;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.57192883142683&lon=7.611253741516347&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.52731917918801, 7.597955000445273;"{""coordinates"": [7.597955000445273, 47.52731917918801], ""type"": ""Point""}";88065;Basel, Spitzacker;Spitzacker;879;BLT Auto;2701;Basel;BS;288;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.52731917918801&lon=7.597955000445273&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.56100488034131, 7.621205864487397;"{""coordinates"": [7.621205864487397, 47.56100488034131], ""type"": ""Point""}";89363;Basel, Sportzentrum Rankhof;Sportzentrum Rankhof;823;BVB;2701;Basel;BS;257;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.56100488034131&lon=7.621205864487397&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.55262332463543, 7.568021570840737;"{""coordinates"": [7.568021570840737, 47.55262332463543], ""type"": ""Point""}";89365;Basel, St. Galler-Ring;St. Galler-Ring;823;BVB;2701;Basel;BS;278;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.552623324635434&lon=7.568021570840737&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.5529101296817, 7.586309505287461;"{""coordinates"": [7.586309505287461, 47.5529101296817], ""type"": ""Point""}";88487;Basel, Steinenschanze;Steinenschanze;823;BVB;2701;Basel;BS;270;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.552910129681706&lon=7.586309505287461&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.563385418944684, 7.570865579872892;"{""coordinates"": [7.570865579872892, 47.563385418944684], ""type"": ""Point""}";89366;Basel, Strassburgerallee;Strassburgerallee;823;BVB;2701;Basel;BS;272;Tram- und Bushaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.563385418944684&lon=7.570865579872892&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.533680327210504, 7.587449426041676;"{""coordinates"": [7.587449426041676, 47.533680327210504], ""type"": ""Point""}";89367;Basel, Studio Basel;Studio Basel;823;BVB;2701;Basel;BS;337;Tramhaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.533680327210504&lon=7.587449426041676&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.54082475780816, 7.596846895276124;"{""coordinates"": [7.596846895276124, 47.54082475780816], ""type"": ""Point""}";89370;Basel, Thiersteinerschule;Thiersteinerschule;823;BVB;2701;Basel;BS;282;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.54082475780815&lon=7.596846895276124&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.559888302986835, 7.612446495792912;"{""coordinates"": [7.612446495792912, 47.559888302986835], ""type"": ""Point""}";89371;Basel, Tinguely Museum;Tinguely Museum;823;BVB;2701;Basel;BS;256;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.559888302986835&lon=7.612446495792912&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.544619503864574, 7.618977181380463;"{""coordinates"": [7.618977181380463, 47.544619503864574], ""type"": ""Point""}";88949;Basel, Ulmenweg;Ulmenweg;823;BVB;2701;Basel;BS;262;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.54461950386458&lon=7.618977181380463&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.57077721891353, 7.577946759604458;"{""coordinates"": [7.577946759604458, 47.57077721891353], ""type"": ""Point""}";88782;Basel, Voltaplatz;Voltaplatz;823;BVB;2701;Basel;BS;251;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.57077721891353&lon=7.577946759604458&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.583713328508246, 7.593825326213932;"{""coordinates"": [7.593825326213932, 47.583713328508246], ""type"": ""Point""}";89374;Basel, Kleinhüningeranlage;Kleinhüningeranlage;823;BVB;2701;Basel;BS;250;Tramhaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.58371332850825&lon=7.593825326213932&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.55912709236573, 7.5983285664724765;"{""coordinates"": [7.598328566472476, 47.55912709236573], ""type"": ""Point""}";89376;Basel, Wettsteinplatz;Wettsteinplatz;823;BVB;2701;Basel;BS;257;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.55912709236573&lon=7.5983285664724765&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%25
47.53738181046642, 7.590465282346263;"{""coordinates"": [7.590465282346263, 47.53738181046642], ""type"": ""Point""}";89379;Basel, Wolfschlucht;Wolfschlucht;823;BVB;2701;Basel;BS;319;Tramhaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.53738181046643&lon=7.590465282346263&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.56897747918422, 7.671205436090425;"{""coordinates"": [7.671205436090425, 47.56897747918422], ""type"": ""Point""}";89386;Bettingen, Altes Zollhaus;Altes Zollhaus;823;BVB;2702;Bettingen;BS;439;Bushaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.56897747918422&lon=7.671205436090425&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.57065412751962, 7.6615510762658126;"{""coordinates"": [7.661551076265813, 47.57065412751962], ""type"": ""Point""}";89387;Bettingen, Bückenweg;Bückenweg;823;BVB;2702;Bettingen;BS;390;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.57065412751961&lon=7.661551076265811&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.570025197295564, 7.684675430982079;"{""coordinates"": [7.684675430982079, 47.570025197295564], ""type"": ""Point""}";89388;Bettingen, Chrischonaklinik;Chrischonaklinik;823;BVB;2702;Bettingen;BS;495;Bushaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.57002519729557&lon=7.684675430982079&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.54372766889925, 7.578043927504191;"{""coordinates"": [7.578043927504191, 47.54372766889925], ""type"": ""Point""}";71;Binningen, Dorenbach;Dorenbach;37;BLT;2701;Binningen;BL;291;Tramhaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.54372766889925&lon=7.578043927504191&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.570374877177855, 7.632837118088446;"{""coordinates"": [7.632837118088446, 47.570374877177855], ""type"": ""Point""}";89473;Riehen Niederholz, Bahnhof;Niederholz Bahnhof;823;BVB;2703;Riehen;BS;262;Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.57037487717786&lon=7.632837118088446&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.58148312120729, 7.667487707133894;"{""coordinates"": [7.667487707133894, 47.58148312120729], ""type"": ""Point""}";89447;Riehen, Chrischonaweg;Chrischonaweg;823;BVB;2703;Riehen;BS;338;Bushaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.58148312120729&lon=7.667487707133896&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.58276922480528, 7.654059969832824;"{""coordinates"": [7.654059969832824, 47.58276922480528], ""type"": ""Point""}";89449;Riehen, Albert Oeri-Strasse;Albert Oeri-Strasse;823;BVB;2703;Riehen;BS;297;Bushaltestelle;Regelhaltestelle;https://opendatabs.github.io/map-links/?lat=47.58276922480528&lon=7.654059969832824&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
47.58441760103251, 7.649552027499952;"{""coordinates"": [7.649552027499952, 47.58441760103251], ""type"": ""Point""}";89450;Riehen, Dorf;Riehen Dorf;823;BVB;2703;Riehen;BS;280;Tram- und Bushaltestelle;Regelhaltestelle (Tag und Nacht);https://opendatabs.github.io/map-links/?lat=47.58441760103252&lon=7.649552027499952&p1=Liniennetz_OEV%252CSchifffahrt&p2=Liniennetz_OEV%3DLN_BusZugang%252CLN_TramZugang%252CLN_Tramhaltestelle%252CLN_KombihaltestelleTramBus%252CLN_KombihalteortTramBus%252
